SAPID,Instalacao,Transformador,N_Serie_LABELEC,Data Colheita,2FAL,Diagnostico_furanicos,H2,CH4,C2H2,C2H4,C2H6,CO,CO2,O2,N2,Diagnostico_AC,COR,Massa_Volumica,Tensao_Interfacial,Tensao_Disruptiva,Indice_Acidez,Teor_Agua,Tangente_Delta_90,Diagnostico_FQ,Recomendacoes
280181437,SE MOGADOURO,TR 2,LEL 11154,1997-12-26,0.12,,10.0,5.0,9.0,22.0,5.0,74.0,1.0,33.0,80.0,,3.0,0.863,23.0,70.3,0.053,9.4,0.03,,
280181437,SE MOGADOURO,TR 2,LEL 11154,2001-05-08,0.18,,3.2,4.7,2.2,59.0,13.0,48.0,1.0,28.0,71.0,,3.0,0.864,22.4,78.4,0.044,3.0,0.023,,
280181437,SE MOGADOURO,TR 2,LEL 11154,2002-06-26,,,2.9,3.7,7.5,35.0,7.6,62.4,1.0,24.8,59.9,,,,,,,,,,
280181437,SE MOGADOURO,TR 2,LEL 11154,2003-04-01,0.16,,3.6,13.8,3.3,113.6,17.4,62.3,1.0,27.6,64.4,,3.0,0.861,21.9,84.7,0.048,4.2,0.022,,
280181437,SE MOGADOURO,TR 2,LEL 11154,2004-09-07,0.16,,10.3,66.0,7.3,288.9,44.3,169.9,1.85,22.9,67.8,,3.0,0.867,22.3,67.1,0.058,7.8,0.038,,
280181437,SE MOGADOURO,TR 2,LEL 11154,2005-09-29,0.22,,5.0,22.9,7.1,164.3,31.0,94.3,1.59,32.2,74.5,,3.0,0.8676,19.4,48.1,0.072,6.6,0.034,,
280181437,SE MOGADOURO,TR 2,LEL 11154,2006-07-25,0.18,,4.9,5.2,6.5,96.4,19.6,89.9,1.65,31.4,67.2,,3.0,0.8678,20.1,73.4,0.079,9.6,0.037,,
280181437,SE MOGADOURO,TR 2,LEL 11154,2007-07-06,0.22,,5.8,6.9,7.0,64.9,13.7,77.9,1.53,30.8,68.5,,3.0,0.8672,20.6,76.0,0.069,8.0,0.028,,
280181437,SE MOGADOURO,TR 2,LEL 11154,2008-04-03,0.27,,15.4,163.1,23.4,857.7,106.7,70.6,2.07,32.0,69.7,,3.0,0.8677,18.3,51.0,0.065,5.6,0.029,,
280181437,SE MOGADOURO,TR 2,LEL 11154,2008-07-29,,,33.4,209.0,25.7,903.5,114.9,171.8,2.68,32.4,74.0,,,,,,,,,,
280181437,SE MOGADOURO,TR 2,LEL 11154,2009-02-17,0.24,,9.6,62.2,16.8,648.7,93.5,96.8,2.41,31.0,70.0,,3.0,0.8676,18.0,84.3,0.057,4.2,0.029,,
280181437,SE MOGADOURO,TR 2,LEL 11154,2011-02-01,0.2,,1.0,1.6,1.0,10.4,3.9,19.6,1.0,35.1,72.7,,3.0,0.8644,21.4,61.0,0.059,6.6,0.021,,
280181437,SE MOGADOURO,TR 2,LEL 11154,2012-07-04,0.19,,6.0,1.1,1.0,3.0,1.0,39.2,1.0,26.8,56.8,,3.0,0.8644,18.7,47.4,0.06,9.7,0.025,,
280181437,SE MOGADOURO,TR 2,LEL 11154,2013-06-26,0.2,,2.2,2.0,1.1,6.0,1.6,62.6,1.0,25.9,58.2,,3.0,0.8644,19.8,62.1,0.081,7.1,0.024,,
280181437,SE MOGADOURO,TR 2,LEL 11154,2014-07-09,0.17,,1.8,1.9,1.0,4.8,1.2,38.4,1.0,28.1,61.1,,3.0,0.8644,19.8,55.8,0.066,5.6,0.023,,
280181437,SE MOGADOURO,TR 2,LEL 11154,2015-09-08,0.21,Papel normal,3.0,1.0,1.0,4.0,1.0,55.0,1.0,30.8,67.7,Estado normal,3.0,0.8644,20.0,73.0,0.07,5.0,0.022,Conforme.,Nova colheita com periodicidade pré-estabelecida
280181437,SE MOGADOURO,TR 2,LEL 11154,2016-09-06,0.2,Papel normal,3.0,2.0,1.0,3.0,1.0,78.0,1.11,25.5,57.9,Estado normal,3.0,0.8644,21.0,82.0,0.06,8.0,0.029,Conforme.,Nova colheita com periodicidade pré-estabelecida
280181437,SE MOGADOURO,TR 2,LEL 11154,2017-09-18,0.24,Papel normal,4.0,2.0,1.0,2.0,1.0,82.0,1.0,28.4,63.9,Estado normal,3.0,0.8644,21.0,95.0,0.07,6.0,0.025,Conforme.,Nova colheita com periodicidade pré-estabelecida
280181437,SE MOGADOURO,TR 2,LEL 11154,2018-11-28,0.22,Papel normal,2.0,2.0,1.0,3.0,3.0,77.0,1.31,29.7,63.8,Estado normal,3.0,0.8644,20.0,70.0,0.07,9.0,0.029,Conforme.,Nova colheita com periodicidade pré-estabelecida
280181437,SE MOGADOURO,TR 2,LEL 11154,2019-11-21,0.24,Papel normal,3.0,5.0,1.0,3.0,4.0,120.0,1.86,28.7,62.3,Estado normal,3.0,0.8644,20.0,79.0,0.08,10.0,0.028,Conforme.,Nova colheita com periodicidade pré-estabelecida
280181437,SE MOGADOURO,TR 2,LEL 11154,2020-10-15,0.22,Papel normal,13.0,3.0,1.0,3.0,5.0,160.0,2.13,25.2,59.5,Estado normal,3.0,0.8645,19.0,69.0,0.06,7.0,0.03,Valor de tensão interfacial não conforme,Nova colheita com periodicidade pré-estabelecida
280181446,SE ALCACOVA,TR 3 DE 30/6 KV,7104923,1996-06-05,,,2.0,17.0,1.0,59.0,17.0,58.0,1.0,24.2,56.6,,4.5,0.866,18.9,53.1,0.068,18.5,0.029,,
280181446,SE ALCACOVA,TR 3 DE 30/6 KV,7104923,1997-04-15,,,3.0,21.0,1.0,60.0,16.0,59.0,1.0,24.1,58.6,,,,,,,25.1,,,
280181446,SE ALCACOVA,TR 3 DE 30/6 KV,7104923,1998-05-26,0.43,,14.0,53.0,2.0,142.0,26.0,68.0,1.0,24.0,72.0,,4.5,0.865,20.8,76.0,0.079,15.6,0.026,,
280181446,SE ALCACOVA,TR 3 DE 30/6 KV,7104923,1999-10-26,0.63,,1.1,7.3,1.0,35.0,11.0,61.0,1.1,30.0,75.0,,,,,59.0,,16.0,,,
280181446,SE ALCACOVA,TR 3 DE 30/6 KV,7104923,2001-01-03,0.62,,5.7,26.2,1.0,55.0,14.8,56.2,1.0,19.5,49.4,,4.5,0.866,22.8,78.4,0.079,13.8,0.037,,
280181446,SE ALCACOVA,TR 3 DE 30/6 KV,7104923,2002-10-04,,,1.0,11.1,1.3,43.9,11.3,44.1,1.0,21.7,53.8,,,,,,,,,,
280181446,SE ALCACOVA,TR 3 DE 30/6 KV,7104923,2003-07-18,0.56,,3.2,37.6,1.2,180.6,31.5,97.6,1.0,25.7,61.8,,4.5,0.87,17.5,54.7,0.092,26.6,0.035,,
280181446,SE ALCACOVA,TR 3 DE 30/6 KV,7104923,2004-01-14,,,9.5,66.1,1.2,167.4,34.2,122.8,1.37,27.9,66.5,,,,,57.4,,18.3,,,
280181446,SE ALCACOVA,TR 3 DE 30/6 KV,7104923,2004-07-06,0.66,,14.6,85.4,1.2,260.8,47.1,113.4,1.02,22.7,63.8,,4.5,0.868,15.8,43.2,0.123,35.7,0.04,,
280181446,SE ALCACOVA,TR 3 DE 30/6 KV,7104923,2004-10-27,,,6.3,21.1,1.0,103.1,26.5,103.9,1.46,26.3,63.0,,,,,,,,,,
280181446,SE ALCACOVA,TR 3 DE 30/6 KV,7104923,2005-02-15,1.0,,32.3,138.4,4.1,366.0,60.9,155.7,1.42,24.4,61.0,,4.5,0.868,19.2,72.2,0.103,10.2,0.038,,
280181446,SE ALCACOVA,TR 3 DE 30/6 KV,7104923,2005-11-04,,,5.0,12.0,1.0,87.8,31.9,84.4,1.23,28.3,69.8,,,,,70.4,,19.6,,,
280181446,SE ALCACOVA,TR 3 DE 30/6 KV,7104923,2006-03-28,1.14,,2.0,5.0,1.0,53.8,17.4,44.2,1.0,28.6,63.2,,4.5,0.8696,15.3,55.9,0.111,18.7,0.039,,
280181446,SE ALCACOVA,TR 3 DE 30/6 KV,7104923,2007-03-21,1.03,,1.6,2.2,1.0,11.6,5.2,35.4,1.0,23.9,51.2,,4.5,0.8696,17.7,76.5,0.088,13.9,0.042,,
280181446,SE ALCACOVA,TR 3 DE 30/6 KV,7104923,2008-03-28,1.0,,1.3,1.6,1.0,4.2,2.4,33.7,1.0,32.8,70.8,,4.5,0.8697,16.8,93.5,0.09,16.0,0.04,,
280181446,SE ALCACOVA,TR 3 DE 30/6 KV,7104923,2009-02-10,1.09,,1.4,1.1,1.0,1.3,1.1,37.0,1.0,30.5,65.6,,4.5,0.8696,16.6,63.2,0.084,14.4,0.05,,
280181446,SE ALCACOVA,TR 3 DE 30/6 KV,7104923,2010-06-22,0.87,,2.2,3.8,2.6,10.3,1.8,46.2,1.0,28.9,65.5,,4.5,0.8697,14.3,39.0,0.09,24.8,0.043,,
280181446,SE ALCACOVA,TR 3 DE 30/6 KV,7104923,2011-08-18,0.85,,2.8,1.4,1.0,2.0,1.0,73.7,1.0,29.0,65.9,,4.5,0.8662,14.4,54.6,0.091,19.2,0.042,,
280181446,SE ALCACOVA,TR 3 DE 30/6 KV,7104923,2012-03-15,0.95,,7.7,1.4,1.0,1.6,1.0,42.4,1.0,30.0,69.8,,4.5,0.8663,12.8,37.7,0.086,24.9,0.044,,
280181446,SE ALCACOVA,TR 3 DE 30/6 KV,7104923,2013-02-21,0.99,,2.4,1.9,1.0,1.7,1.0,44.5,1.0,29.2,61.7,,4.5,0.8662,16.7,62.4,0.089,13.7,0.046,,
280181446,SE ALCACOVA,TR 3 DE 30/6 KV,7104923,2014-04-04,0.88,,2.3,2.0,1.0,1.7,1.0,36.8,1.0,27.8,67.7,,4.5,0.8662,17.6,76.9,0.112,14.5,0.044,,
280181446,SE ALCACOVA,TR 3 DE 30/6 KV,7104923,2015-03-26,0.85,Sintomas de degradação significativa do papel.,2.0,2.0,1.0,1.0,1.0,38.0,1.25,30.4,66.8,Estado normal,4.5,0.8663,17.0,40.0,0.1,13.0,0.045,Valor tensão interfacial não adequado. Óleo com alguma degradação.,Nova colheita com periodicidade pré-estabelecida. Regeneração do óleo.
280181446,SE ALCACOVA,TR 3 DE 30/6 KV,7104923,2016-03-15,0.82,Sintomas de degradação significativa do papel.,4.0,1.0,1.0,1.0,1.0,43.0,1.0,27.9,65.5,Estado normal,4.5,0.8663,17.0,57.0,0.11,19.0,0.048,Valor tensão interfacial não adequado. Óleo com alguma degradação.,Nova colheita com periodicidade pré-estabelecida. Regeneração do óleo.
280181446,SE ALCACOVA,TR 3 DE 30/6 KV,7104923,2017-02-08,0.98,Sintomas de degradação significativa do papel.,1.0,2.0,1.0,1.0,1.0,54.0,1.0,28.6,68.6,Estado normal,4.5,0.8663,16.0,81.0,0.09,13.0,0.05,Valor de tensão interfacial não conforme,Nova colheita com periodicidade pré-estabelecida
280181446,SE ALCACOVA,TR 3 DE 30/6 KV,7104923,2018-03-15,0.85,Sintomas de degradação significativa do papel.,5.0,1.0,1.0,1.0,1.0,49.0,1.0,27.7,66.4,Estado normal,4.5,0.8663,16.0,89.0,0.1,10.0,0.048,Valor tensão interfacial não adequado. Óleo com alguma degradação.,Nova colheita com periodicidade pré-estabelecida. Regeneração do óleo.
280181446,SE ALCACOVA,TR 3 DE 30/6 KV,7104923,2019-05-30,0.76,Sintomas de degradação significativa do papel.,2.0,1.0,1.0,2.0,1.0,45.0,1.0,27.3,61.3,Estado normal,4.5,0.866,19.0,57.0,0.11,24.0,0.047,Valor tensão interfacial não adequado. Óleo com alguma degradação.,Nova colheita com periodicidade pré-estabelecida. Regeneração do óleo.
280181447,SE ALCACOVA,TR 4 DE 30/6 KV,LEL 17929,1996-06-05,,,4.0,15.0,1.0,49.0,9.0,127.0,1.2,22.9,57.7,,3.5,0.85,23.1,71.7,0.04,8.3,0.023,,
280181447,SE ALCACOVA,TR 4 DE 30/6 KV,LEL 17929,1997-04-15,,,5.0,14.0,1.0,46.0,9.0,92.0,1.0,22.0,57.6,,,,,,,10.7,,,
280181447,SE ALCACOVA,TR 4 DE 30/6 KV,LEL 17929,1998-05-26,0.05,,7.0,7.0,1.0,24.0,5.0,88.0,1.0,26.0,78.0,,3.5,0.851,22.6,74.3,0.05,6.4,0.024,,
280181447,SE ALCACOVA,TR 4 DE 30/6 KV,LEL 17929,1999-10-26,0.05,,6.6,9.2,1.0,35.0,6.3,116.0,1.12,32.0,84.0,,,,,70.3,,5.4,,,
280181447,SE ALCACOVA,TR 4 DE 30/6 KV,LEL 17929,2001-01-03,0.08,,28.0,64.0,1.1,196.0,29.0,104.0,1.0,26.4,68.6,,3.5,0.849,23.8,77.2,0.037,4.4,0.028,,
280181447,SE ALCACOVA,TR 4 DE 30/6 KV,LEL 17929,2003-07-18,0.11,,19.6,103.2,2.5,617.0,84.5,158.2,1.4,26.9,69.5,,3.5,0.856,20.8,83.9,0.044,11.0,0.034,,
280181447,SE ALCACOVA,TR 4 DE 30/6 KV,LEL 17929,2004-01-14,,,18.3,50.3,1.9,322.6,50.7,147.7,1.44,25.4,65.1,,,,,57.8,,7.2,,,
280181447,SE ALCACOVA,TR 4 DE 30/6 KV,LEL 17929,2004-07-06,0.09,,71.3,228.7,7.0,942.7,104.7,154.4,1.09,19.2,69.0,,3.5,0.853,19.6,66.4,0.086,14.4,0.04,,
280181447,SE ALCACOVA,TR 4 DE 30/6 KV,LEL 17929,2004-10-27,,,19.8,94.0,3.6,451.2,62.8,146.4,1.29,26.7,68.3,,,,,,,,,,
280181447,SE ALCACOVA,TR 4 DE 30/6 KV,LEL 17929,2005-02-15,0.13,,45.3,212.2,4.6,758.9,109.3,171.4,1.44,32.3,79.5,,3.5,0.853,19.8,75.7,0.06,10.2,0.033,,
280181447,SE ALCACOVA,TR 4 DE 30/6 KV,LEL 17929,2005-11-04,,,12.9,38.0,1.4,266.2,50.3,135.9,1.24,28.9,72.0,,,,,63.3,,8.3,,,
280181447,SE ALCACOVA,TR 4 DE 30/6 KV,LEL 17929,2006-03-28,0.14,,7.7,22.6,1.1,188.2,38.4,101.4,1.07,34.1,78.6,,3.5,0.8548,18.8,72.2,0.07,8.3,0.033,,
280181447,SE ALCACOVA,TR 4 DE 30/6 KV,LEL 17929,2006-05-11,,,3.4,13.4,1.0,141.3,29.6,57.2,1.0,31.3,72.7,,,,,,,,,,
280181447,SE ALCACOVA,TR 4 DE 30/6 KV,LEL 17929,2007-03-21,0.12,,3.6,4.9,1.0,55.6,14.7,65.6,1.0,25.7,56.4,,3.5,0.8547,20.0,83.6,0.059,9.6,0.036,,
280181447,SE ALCACOVA,TR 4 DE 30/6 KV,LEL 17929,2008-03-28,0.12,,10.2,33.2,1.2,134.2,21.8,94.3,1.0,26.0,60.5,,3.5,0.8547,19.2,53.8,0.047,6.9,0.035,,
280181447,SE ALCACOVA,TR 4 DE 30/6 KV,LEL 17929,2008-09-02,,,52.3,97.5,2.8,309.6,48.4,199.4,1.63,30.7,74.2,,,,,,,,,,
280181447,SE ALCACOVA,TR 4 DE 30/6 KV,LEL 17929,2009-02-10,0.13,,75.2,199.1,5.1,618.4,75.3,140.1,1.31,31.6,71.2,,3.5,0.8547,19.6,89.0,0.061,9.3,0.036,,
280181447,SE ALCACOVA,TR 4 DE 30/6 KV,LEL 17929,2009-05-26,,,22.4,108.2,2.9,441.3,72.4,105.4,1.13,30.2,71.6,,,,,,,,,,
280181447,SE ALCACOVA,TR 4 DE 30/6 KV,LEL 17929,2009-06-09,,,,,,,,,,,,,,,,87.2,,6.0,,,
280181447,SE ALCACOVA,TR 4 DE 30/6 KV,LEL 17929,2010-06-22,0.09,,35.3,195.7,2.9,784.5,125.2,128.0,1.57,30.8,71.4,,3.5,0.8549,18.2,93.9,0.058,8.6,0.038,,
280181447,SE ALCACOVA,TR 4 DE 30/6 KV,LEL 17929,2011-08-18,0.12,,29.9,126.3,2.4,618.0,112.1,176.8,1.51,30.1,71.2,,4.0,0.8514,19.2,75.2,0.075,9.7,0.04,,
280181447,SE ALCACOVA,TR 4 DE 30/6 KV,LEL 17929,2012-03-15,0.14,,72.8,266.0,3.6,883.3,160.8,129.6,1.19,30.3,70.9,,3.5,0.8514,17.6,84.9,0.064,11.6,0.041,,
280181447,SE ALCACOVA,TR 4 DE 30/6 KV,LEL 17929,2012-11-29,,,32.4,79.4,1.3,355.9,82.5,152.4,1.23,25.6,60.3,,,,,70.0,,10.3,,,
280181447,SE ALCACOVA,TR 4 DE 30/6 KV,LEL 17929,2013-02-21,0.12,,67.1,204.1,1.5,624.4,131.6,146.3,1.23,28.8,63.8,,4.0,0.8514,19.6,54.1,0.066,14.3,0.036,,
280181447,SE ALCACOVA,TR 4 DE 30/6 KV,LEL 17929,2013-06-04,,,36.2,143.4,1.4,493.7,109.4,128.0,1.15,26.8,60.2,,,,,47.8,,7.3,,,
280181447,SE ALCACOVA,TR 4 DE 30/6 KV,LEL 17929,2014-04-04,0.13,,54.3,218.5,1.8,625.0,142.6,144.7,1.21,28.4,70.4,,4.0,0.8513,19.9,84.8,0.087,6.3,0.036,,
280181447,SE ALCACOVA,TR 4 DE 30/6 KV,LEL 17929,2014-10-09,,,34.0,100.0,1.0,352.0,87.0,163.0,1.3,27.1,63.8,Defeito térmico de elevada temperatura,,,,56.0,,7.0,,Conforme.,Nova colheita dentro de cerca de 6 meses.
280181447,SE ALCACOVA,TR 4 DE 30/6 KV,LEL 17929,2015-03-26,0.11,Papel normal,102.0,373.0,2.0,1024.0,200.0,150.0,1.41,29.9,69.2,Defeito térmico de elevada temperatura,4.0,0.8514,19.0,82.0,0.08,8.0,0.033,Valor de tensão interfacial não conforme,Nova colheita dentro de cerca de 1 mês. Realização de ensaios eléctricos assim que possível.
280181447,SE ALCACOVA,TR 4 DE 30/6 KV,LEL 17929,2015-05-15,,,77.0,287.0,1.0,852.0,177.0,154.0,1.52,28.3,71.4,Defeito térmico de elevada temperatura,,,,85.0,,6.0,,Conforme.,Nova colheita dentro de cerca de 6 meses
280181447,SE ALCACOVA,TR 4 DE 30/6 KV,LEL 17929,2016-03-15,0.13,Papel normal,69.0,328.0,1.0,946.0,216.0,159.0,1.31,28.3,69.0,Defeito térmico de elevada temperatura,4.0,0.8514,20.0,64.0,0.08,6.0,0.031,Conforme.,Nova colheita dentro de cerca de 6 meses
280181447,SE ALCACOVA,TR 4 DE 30/6 KV,LEL 17929,2016-09-15,,,141.0,228.0,1.0,693.0,168.0,248.0,1.84,23.1,69.0,Descargas parciais associadas a defeito térmico de baixa temperatura.,,,,72.0,,7.0,,Conforme.,Nova colheita dentro de cerca de 6 meses
280181447,SE ALCACOVA,TR 4 DE 30/6 KV,LEL 17929,2017-02-08,0.16,Papel normal,115.0,320.0,1.0,819.0,196.0,192.0,1.28,27.0,71.6,Descargas parciais associadas a defeito térmico de elevada temperatura.,4.0,0.8514,19.0,82.0,0.07,6.0,0.033,Valor de tensão interfacial não conforme,Nova colheita dentro de cerca de 6 meses
280181447,SE ALCACOVA,TR 4 DE 30/6 KV,LEL 17929,2018-03-15,0.14,Papel normal,79.0,300.0,1.0,806.0,172.0,184.0,1.19,23.8,66.4,Defeito térmico de elevada temperatura,4.0,0.8515,18.0,65.0,0.08,7.0,0.031,Valor de tensão interfacial não conforme,Nova colheita dentro de cerca de 6 meses
280181447,SE ALCACOVA,TR 4 DE 30/6 KV,LEL 17929,2018-11-23,,,31.0,84.0,1.0,361.0,94.0,190.0,1.48,28.7,68.4,Defeito térmico de elevada temperatura,,,,76.0,,6.0,,Conforme.,Nova colheita dentro de cerca de 6 meses.
280181447,SE ALCACOVA,TR 4 DE 30/6 KV,LEL 17929,2019-05-30,0.12,Papel normal,18.0,39.0,1.0,240.0,64.0,96.0,1.15,28.2,62.8,Defeito térmico de elevada temperatura,4.0,0.8513,20.0,86.0,0.08,8.0,0.033,Conforme.,Nova colheita dentro de cerca de 6 meses.
280181447,SE ALCACOVA,TR 4 DE 30/6 KV,LEL 17929,2019-08-27,0.12,Papel normal,353.0,99.0,89.0,284.0,54.0,226.0,1.17,30.5,71.1,Descargas eléctricas,4.0,0.8513,18.0,40.0,0.08,10.0,0.041,Valor de tensão interfacial não conforme,Realização de ensaios eléctricos ao transformador. Nova colheita dentro de cerca de 1 semana após entrada em serviço.
280181452,SE ALHANDRA,EX TR 3,10443 S,1996-02-14,,,27.0,11.0,159.0,27.0,5.0,200.0,5.4,28.5,69.8,,3.5,0.861,18.7,65.3,0.091,10.0,0.059,,
280181452,SE ALHANDRA,EX TR 3,10443 S,1996-09-10,,,25.0,11.0,204.0,35.0,6.0,253.0,5.9,25.0,64.1,,,,,,,12.7,,,
280181452,SE ALHANDRA,EX TR 3,10443 S,1997-01-29,0.68,,27.0,13.0,222.0,40.0,6.0,173.0,5.3,27.6,67.6,,3.5,0.862,19.9,88.7,0.132,8.8,0.034,,
280181452,SE ALHANDRA,EX TR 3,10443 S,1998-02-18,0.66,,42.0,12.0,248.0,40.0,6.0,209.0,4.0,30.0,81.0,,3.5,0.861,20.7,74.3,0.143,10.9,0.056,,
280181452,SE ALHANDRA,EX TR 3,10443 S,1999-08-26,0.77,,4.9,5.1,99.0,13.0,3.1,164.0,2.35,18.0,48.0,,3.5,0.862,20.1,69.2,0.138,10.0,0.079,,
280181452,SE ALHANDRA,EX TR 3,10443 S,2001-01-24,0.71,,20.9,7.6,174.1,21.6,3.4,191.6,3.93,26.5,71.2,,3.5,0.861,20.6,53.2,0.158,9.9,0.039,,
280181452,SE ALHANDRA,EX TR 3,10443 S,2002-02-14,0.63,,2.8,5.9,124.2,21.8,4.6,132.8,3.48,33.4,94.1,,3.5,0.86,16.6,52.3,0.135,7.5,0.032,,
280181452,SE ALHANDRA,EX TR 3,10443 S,2002-11-28,0.86,,20.5,6.2,125.4,15.8,3.4,309.6,4.18,21.7,60.9,,3.5,0.858,17.1,52.3,0.147,14.3,0.032,,
280181452,SE ALHANDRA,EX TR 3,10443 S,2004-01-07,1.23,,14.9,10.1,91.0,22.7,5.0,309.7,3.68,25.7,73.6,,3.5,0.864,15.9,61.9,0.138,11.8,0.034,,
280181452,SE ALHANDRA,EX TR 3,10443 S,2005-03-02,1.75,,27.3,16.1,99.1,54.2,10.8,280.2,5.99,31.7,81.2,,3.5,0.8645,15.2,65.4,0.181,10.0,0.059,,
280181452,SE ALHANDRA,EX TR 3,10443 S,2006-04-28,1.69,,16.6,10.8,130.4,64.1,10.5,194.1,6.27,29.3,68.8,,3.5,0.8652,16.2,70.0,0.202,12.9,0.074,,
